id,type,lati,longi,alti,calibration,regist_code,info
A0E6F86A8DD0,beacon,30.495528,114.533194,53.6831,-61,test,test
A0E6F86A8DA9,beacon,30.495495,114.533231,53.6831,-61,test,test
A0E6F86A8DD2,beacon,30.495471,114.533181,53.6831,-61,test,test
A0E6F86A8A37,beacon,30.495451,114.533127,53.6831,-61,test,test
A0E6F86A8DE6,beacon,30.495482,114.533107,53.6831,-61,test,test
A0E6F86A8C15,beacon,30.49543,114.533084,53.6831,-61,test,test
A0E6F86A8B9E,beacon,30.495471,114.533058,53.6831,-61,test,test
A0E6F86A8D77,beacon,30.495408,114.533037,53.6831,-61,test,test
A0E6F86A8BBC,beacon,30.49539,114.532998,53.6831,-61,test,test
A0E6F86A899D,beacon,30.495374,114.532965,53.6831,-61,test,test
A0E6F86A8995,beacon,30.495407,114.53296,53.6831,-61,test,test
A0E6F86A8D4E,beacon,30.495433,114.532979,53.6831,-61,test,test
A0E6F86A8D8C,beacon,30.495332,114.53301,53.6831,-61,test,test
A0E6F86A897D,beacon,30.495359,114.533068,53.6831,-61,test,test
A0E6F86A8C5F,beacon,30.495325,114.53309,53.6831,-61,test,test
A0E6F86A8C01,beacon,30.495293,114.533022,53.6831,-61,test,test
A0E6F86A8DB5,beacon,30.495267,114.533062,53.6831,-61,test,test
A0E6F86A8DC9,beacon,30.495216,114.533068,53.6831,-61,test,test
A0E6F86A8BAF,beacon,30.495403,114.533157,53.6831,-61,test,test
A0E6F86A8D0C,beacon,30.495426,114.533205,53.6831,-61,test,test
A0E6F86A8D32,beacon,30.49545,114.533254,53.6831,-61,test,test
A0E6F86A8D37,beacon,30.495402,114.533284,53.6831,-61,test,test
A0E6F86A8C57,beacon,30.495379,114.533236,53.6831,-61,test,test
A0E6F86A8D26,beacon,30.495355,114.533187,53.6831,-61,test,test
A0E6F86A89A9,beacon,30.495368,114.53331,53.6831,-61,test,test
A0E6F86A89DC,beacon,30.495328,114.533268,53.6831,-61,test,test
A0E6F86A8C6C,beacon,30.495339,114.533328,53.6831,-61,test,test
A0E6F86A8D95,beacon,30.495288,114.533293,53.6831,-61,test,test
A0E6F86A892B,beacon,30.495279,114.533358,53.6831,-61,test,test
A0E6F86A8BC8,beacon,30.49526,114.533311,53.6831,-61,test,test
A0E6F86A8D11,beacon,30.495244,114.533378,53.6831,-61,test,test
A0E6F86A8D66,beacon,30.495219,114.533338,53.6831,-61,test,test
A0E6F86A8DBD,beacon,30.495308,114.533217,53.6831,-61,test,test
A0E6F86A8C6E,beacon,30.495271,114.53324,53.6831,-61,test,test
A0E6F86A8D54,beacon,30.495226,114.53326,53.6831,-61,test,test
A0E6F86A8DB8,beacon,30.495182,114.533291,53.6831,-61,test,test
A0E6F86A8BBD,beacon,30.49544,114.533018,53.6831,-61,test,test
A0E6F86A8C12,beacon,30.49528,114.533181,53.6831,-61,test,test
A0E6F86A8BE0,beacon,30.495261,114.533143,53.6831,-61,test,test
A0E6F86A8C1F,beacon,30.495232,114.533172,53.6831,-61,test,test
A0E6F86A8D72,beacon,30.495182,114.533193,53.6831,-61,test,test
A0E6F86A89AD,beacon,30.495131,114.533221,53.6831,-61,test,test
A0E6F86A8D7D,beacon,30.49517,114.53326,53.6831,-61,test,test
